Time	EMG	Muscle Force
0.407	-0.0190581	0.26709
0.408	0.0437272	0.26709
0.409	0.0319311	0.26709
0.41	0.0644211	0.26709
0.411	0.0149644	0.26709
0.412	-0.0423619	0.26709
0.413	-0.0630757	0.26709
0.414	-0.0382396	0.26709
0.415	0.0224395	0.26709
0.416	0.0716126	0.26709
0.417	-0.00788437	0.26709
0.418	-0.0487163	0.26709
0.419	-0.0134462	0.26709
0.42	0.0606519	0.26709
0.421	0.0812876	0.26709
0.422	-0.00639615	0.26709
0.423	-0.0817879	0.26709
0.424	-0.104871	0.26709
0.425	-0.0659993	0.26709
0.426	0.0616135	0.26709
0.427	0.209066	0.26709
0.428	0.0277761	0.26709
0.429	-0.0908025	0.26709
0.43	-0.0550827	0.26709
0.431	-0.0206329	0.26709
0.432	-0.0188127	0.26709
0.433	0.0343334	0.26709
0.434	0.00119292	0.26709
0.435	-0.0311676	0.26709
0.436	0.0389648	0.26709
0.437	0.0523647	0.26709
0.438	-0.000543814	0.26709
0.439	-0.0354875	0.26709
0.44	-0.0241243	0.26709
0.441	-0.00176091	0.26709
0.442	-0.00618629	0.26709
0.443	0.0347757	0.26709
0.444	0.0069542	0.26709
0.445	-0.0446523	0.26709
0.446	-0.0389541	0.26709
0.447	0.0284982	0.26709
0.448	0.0754623	0.26709
0.449	0.0268443	0.26709
0.45	-0.0286828	0.26709
0.451	-0.0330231	0.26709
0.452	-0.0520993	0.26709
0.453	-0.0116679	0.26709
0.454	0.0255091	0.26709
0.455	0.0369212	0.26709
0.456	0.0147167	0.26709
0.457	0.00747169	0.26709
0.458	-0.00720893	0.26709
0.459	-0.0020386	0.26709
0.46	0.0156592	0.26709
0.461	-0.0630962	0.26709
0.462	-0.0664781	0.26709
0.463	0.0213154	0.26709
0.464	0.0793864	0.26709
0.465	0.0846165	0.26709
0.466	0.0143007	0.26709
0.467	-0.0475911	0.26709
0.468	-0.093801	0.26709
0.469	-0.059225	0.26709
0.47	-0.00284526	0.26709
0.471	0.0588006	0.26709
0.472	0.104353	0.26709
0.473	0.0243419	0.26709
0.474	-0.0514249	0.26709
0.475	-0.0550936	0.26709
0.476	-0.00241317	0.26709
0.477	0.0156043	0.26709
0.478	-0.0167366	0.26709
0.479	0.00133361	0.26709
0.48	0.02465	0.26709
0.481	0.0290757	0.26709
0.482	-0.0293534	0.26709
0.483	-0.0221374	0.26709
0.484	0.0171926	0.26709
0.485	-0.0404714	0.26709
0.486	0.0349001	0.26709
0.487	0.0960456	0.26709
0.488	-0.0347777	0.26709
0.489	-0.0953365	0.26709
0.49	-0.0506472	0.26709
0.491	0.024681	0.26709
0.492	0.0938456	0.26709
0.493	0.0580823	0.26709
0.494	-0.00868914	0.26709
0.495	-0.0832212	0.26709
0.496	-0.0471791	0.26709
0.497	-0.0186771	0.26709
0.498	0.00174831	0.26709
0.499	0.0731029	0.26709
0.5	0.0957012	0.26709
0.501	-0.0112491	0.26709
0.502	-0.0910365	0.26709
0.503	-0.0552494	0.26709
0.504	0.0486919	0.26709
0.505	0.00231221	0.26709
0.506	-0.0337134	0.26709
0.507	0.0235941	0.26709
0.508	0.0227516	0.26709
