Time	Lead II
5.58	0.268744
5.59	0.250717
5.6	0.118957
5.61	0.157114
5.62	0.0262288
5.63	0.036417
5.64	0.00747979
5.65	-0.10391
5.66	-0.0266613
5.67	-0.116352
5.68	-0.0559443
5.69	-0.0226743
5.7	-0.101728
5.71	-0.00201381
5.72	-0.0838586
5.73	-0.0448629
5.74	-0.0312503
5.75	-0.0845484
5.76	0.0194124
5.77	-0.091958
5.78	-0.0298849
5.79	-0.0018694
5.8	-0.0833234
5.81	-0.00467989
5.82	-0.0963059
5.83	-0.0431624
5.84	-0.02244
5.85	-0.0930546
5.86	0.00860298
5.87	-0.0979279
5.88	-0.0519359
5.89	-0.0249324
5.9	-0.101572
5.91	0.0182178
5.92	-0.0704392
5.93	-0.0479064
5.94	-0.0341279
5.95	-0.10441
5.96	0.012325
5.97	-0.0620771
5.98	0.00279563
5.99	0.0710796
6	0.0316572
6.01	0.13098
6.02	0.00941051
6.03	0.0143621
6.04	0.0143988
6.05	-0.0684891
6.06	0.028921
6.07	-0.0689025
6.08	-0.0240451
6.09	-0.00264385
6.1	-0.091514
6.11	0.0238115
6.12	-0.029218
6.13	0.0904062
6.14	0.311435
6.15	0.284312
6.16	0.143368
6.17	-0.239578
6.18	-0.367206
6.19	-0.326718
6.2	-0.259163
6.21	0.0106375
6.22	0.0015054
6.23	0.0555378
6.24	0.0853815
6.25	0.0126373
6.26	0.13772
6.27	0.0604409
6.28	0.0977857
6.29	0.145164
6.3	0.0920366
6.31	0.209637
6.32	0.141685
6.33	0.238637
6.34	0.198448
6.35	0.0360776
6.36	0.244502
6.37	0.2993
6.38	0.356777
6.39	0.436941
6.4	0.295466
6.41	0.332197
6.42	0.207315
6.43	0.147126
6.44	0.145823
6.45	-0.00391402
6.46	0.0723385
6.47	0.000509239
6.48	-0.0097939
6.49	0.0558007
6.5	-0.0453143
6.51	0.0624684
6.52	0.00176049
6.53	-0.0189548
6.54	0.0404666
6.55	-0.0539304
6.56	0.0508204
6.57	0.00338944
6.58	-0.0116535
6.59	0.0499976
6.6	-0.0476984
6.61	0.0491773
6.62	-0.011595
6.63	-0.0173873
6.64	0.0428878
6.65	-0.0797321
6.66	0.00747612
6.67	-0.0443641
6.68	-0.03721
6.69	0.040105
6.7	-0.0622247
6.71	0.0198042
6.72	-0.0403008
6.73	-0.0550765
6.74	0.0230248
6.75	-0.0494001
6.76	0.0905599
6.77	0.0705611
6.78	0.0612624
6.79	0.111723
6.8	-0.0193762
6.81	0.0440061
6.82	-0.0184239
6.83	-0.0351713
6.84	0.0164461
6.85	-0.105395
6.86	-0.0224939
6.87	-0.0713821
6.88	-0.0568984
6.89	0.017897
6.9	-0.0715025
6.91	0.123299
6.92	0.262264
6.93	0.205854
6.94	0.0114574
6.95	-0.34705
6.96	-0.378096
6.97	-0.372123
6.98	-0.245486
6.99	-0.0645078
7	-0.109844
7.01	0.00830737
7.02	-0.03388
