Time	Lead II
5.11	-0.12511
5.12	-0.1515
5.13	-0.12266
5.14	-0.136554
5.15	-0.12484
5.16	-0.121338
5.17	-0.153107
5.18	-0.0683183
5.19	0.130161
5.2	0.157068
5.21	-0.122785
5.22	-0.436292
5.23	-0.524636
5.24	-0.447855
5.25	-0.291979
5.26	-0.185521
5.27	-0.159379
5.28	-0.118044
5.29	-0.115594
5.3	-0.0863898
5.31	-0.0681102
5.32	-0.0811905
5.33	-0.0547686
5.34	-0.0604452
5.35	-0.0260433
5.36	0.00130705
5.37	0.0249878
5.38	0.072007
5.39	0.0585367
5.4	0.0882922
5.41	0.133126
5.42	0.136662
5.43	0.152565
5.44	0.136341
5.45	0.141675
5.46	0.111231
5.47	0.0581181
5.48	0.0513493
5.49	0.0137207
5.5	0.0183161
5.51	-0.00393876
5.52	-0.031653
5.53	0.00196464
5.54	-0.00845282
5.55	-0.0116043
5.56	-0.0130376
5.57	-0.0197402
5.58	0.0171693
5.59	-0.00238418
5.6	-0.00128175
5.61	-0.00463005
5.62	-0.0227481
5.63	-0.00678506
5.64	-0.0235475
5.65	-0.00894155
5.66	-0.0136123
5.67	-0.0371414
5.68	-0.0222112
5.69	-0.00770527
5.7	0.0244468
5.71	0.0153221
5.72	-0.0242229
5.73	-0.019631
5.74	-0.0396371
5.75	-0.039815
5.76	-0.0370886
5.77	-0.0394794
5.78	-0.00240781
5.79	-0.0166111
5.8	-0.02129
5.81	-0.0313171
5.82	-0.0509783
5.83	-0.0173567
5.84	-0.0246202
5.85	-0.0223034
5.86	-0.0159322
5.87	-0.00679216
5.88	0.0494629
5.89	0.0582484
5.9	0.0801319
5.91	0.0770753
5.92	0.0318087
5.93	0.0190306
5.94	-0.016248
5.95	-0.0279962
5.96	-0.0396231
5.97	-0.0658521
5.98	-0.0485913
5.99	-0.0708527
6	-0.0725274
6.01	-0.0591566
6.02	-0.0562974
6.03	-0.0124509
6.04	0.142141
6.05	0.301223
6.06	0.154439
6.07	-0.173964
6.08	-0.389283
6.09	-0.415138
6.1	-0.247568
6.11	-0.105438
6.12	-0.061523
6.13	0.00660283
6.14	0.0311499
6.15	0.0652266
6.16	0.0729691
6.17	0.0542564
6.18	0.100188
6.19	0.119557
6.2	0.161477
6.21	0.19088
6.22	0.177667
6.23	0.208867
6.24	0.225179
6.25	0.26698
6.26	0.304875
6.27	0.317848
6.28	0.355878
6.29	0.311268
6.3	0.297247
6.31	0.312188
6.32	0.274412
6.33	0.25739
6.34	0.201067
6.35	0.169145
6.36	0.135795
6.37	0.0956355
6.38	0.076242
6.39	0.0550796
6.4	0.0737732
6.41	0.0730125
6.42	0.0436057
6.43	0.0485664
6.44	0.0127168
6.45	-0.0102885
6.46	-0.0301369
6.47	-0.074905
6.48	-0.0775011
6.49	-0.114575
6.5	-0.113272
6.51	-0.103405
6.52	-0.113781
6.53	-0.0967206
6.54	-0.122755
6.55	-0.104686
6.56	-0.0881426
6.57	-0.103603
6.58	-0.089078
6.59	-0.0938192
6.6	-0.0514517
6.61	-0.0335496
6.62	-0.0532969
6.63	-0.0405111
6.64	-0.0608581
6.65	-0.0423439
6.66	-0.0268098
6.67	-0.0589035
6.68	-0.0539797
6.69	-0.0858134
6.7	-0.0992086
6.71	-0.105214
6.72	-0.113001
6.73	-0.0497928
6.74	-0.0245513
6.75	0.016882
6.76	0.0178905
6.77	-0.0119979
6.78	-0.0120219
6.79	-0.0562483
6.8	-0.0782891
6.81	-0.0933075
6.82	-0.121985
6.83	-0.123212
6.84	-0.162379
6.85	-0.122156
6.86	-0.0966253
6.87	-0.122244
6.88	-0.10516
6.89	-0.0507468
6.9	0.179671
6.91	0.242638
6.92	-0.0233948
6.93	-0.287815
6.94	-0.441923
6.95	-0.382308
6.96	-0.218136
6.97	-0.1108
6.98	-0.0249554
6.99	-0.0178857
7	-0.0169253
7.01	-0.0270105
7.02	-0.00397883
7.03	0.0560326
7.04	0.0367697
7.05	0.0487166
7.06	0.0667777
7.07	0.073866
7.08	0.0920688
7.09	0.0883574
