Time	Lead II
5.19	-0.0227026
5.2	-0.0318175
5.21	-0.0425806
5.22	-0.0390644
5.23	-0.0521839
5.24	-0.0436479
5.25	-0.0513121
5.26	-0.0545929
5.27	-0.0408457
5.28	-0.0484368
5.29	-0.0377972
5.3	-0.0432915
5.31	-0.0517533
5.32	-0.0434593
5.33	-0.054153
5.34	-0.0454388
5.35	-0.0479032
5.36	-0.0540486
5.37	-0.0483523
5.38	-0.0606577
5.39	-0.0539379
5.4	-0.062438
5.41	-0.0704176
5.42	-0.0585149
5.43	-0.0660905
5.44	-0.0584222
5.45	-0.0634686
5.46	-0.0696357
5.47	-0.059681
5.48	-0.0712834
5.49	-0.0659096
5.5	-0.0682105
5.51	-0.0723399
5.52	-0.0625063
5.53	-0.0732019
5.54	-0.0705309
5.55	-0.0753936
5.56	-0.0726035
5.57	-0.0502025
5.58	-0.0432668
5.59	-0.0215214
5.6	-0.00438055
5.61	0.00919407
5.62	0.0130118
5.63	-0.0167911
5.64	-0.0251662
5.65	-0.0458695
5.66	-0.0656508
5.67	-0.0700305
5.68	-0.0908728
5.69	-0.0865924
5.7	-0.0922669
5.71	-0.096264
5.72	-0.0827858
5.73	-0.0866113
5.74	-0.0707755
5.75	-0.0559107
5.76	0.0568307
5.77	0.319163
5.78	0.322188
5.79	0.0631529
5.8	-0.201144
5.81	-0.313208
5.82	-0.258716
5.83	-0.161025
5.84	-0.0688001
5.85	-0.0334695
5.86	-0.0244663
5.87	-0.0055917
5.88	-0.00785755
5.89	0.0109316
5.9	0.0172889
5.91	0.0190152
5.92	0.0409265
5.93	0.0483226
5.94	0.0744097
5.95	0.0903131
5.96	0.106783
5.97	0.145967
5.98	0.169943
5.99	0.218273
6	0.258337
6.01	0.287526
6.02	0.323036
6.03	0.31563
6.04	0.294433
6.05	0.240205
6.06	0.171192
6.07	0.114817
6.08	0.051017
6.09	0.0225849
6.1	-0.00625983
6.11	-0.0317265
6.12	-0.0323136
6.13	-0.0498981
6.14	-0.0476643
6.15	-0.051141
6.16	-0.0577115
6.17	-0.0464348
6.18	-0.0538842
6.19	-0.0448404
6.2	-0.0462964
6.21	-0.0537066
6.22	-0.0431454
6.23	-0.0505247
6.24	-0.0403254
